0.00	100.0	0	10000	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.01	99.97	3	9997	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.02	99.89	11	9989	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.03	99.74	26	9974	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.04	99.48	52	9948	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.05	99.35	65	9935	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.06	99.0	100	9900	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.07	98.61	139	9861	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.08	98.52	148	9852	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.09	97.59	241	9759	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.10	97.38	262	9738	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.11	96.48	352	9648	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.12	95.85	415	9585	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.13	95.34	466	9534	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.14	95.48	452	9548	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.15	93.72	628	9372	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.16	93.32	668	9332	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.17	92.14	786	9214	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.18	91.0	900	9100	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.19	90.92	908	9092	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.20	88.9	1110	8890	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.21	88.91	1109	8891	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.22	87.68	1232	8768	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.23	86.83	1317	8683	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.24	85.26	1474	8526	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.25	84.12	1588	8412	10000	10000	30000	20000	33.333333333333336	66.66666666666667
0.26	83.31	1669	8331	10000	10000	30000	20000	33.333333333333336	66.66666666666667
